Race,Gender,Ethnicity,BeginDate,EndDate,LOS,AA,Wellness,SSM,VITotal,VIFamily,VISingle,VIHistory,VIRisk,VIDaily,VIWellness,VIFamilyUnit,Outcome,HousingPlacement,Family,JobPlacement,JobTraining,CriminalHistory,Issues,ChronicHomeless,CaseMgmt,PartnerServices,Recidivism,AgeEntry,AgeExit,IssueScore,CrimeScore,Exit,EarnedExit,BenefitsExit,PSH,HPOutcome
0,1,0,8/4/2010,8/13/2010,9,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,0,0,0,0,0,0,1,26,26,0,0,0,0,0,0,0
0,0,1,6/6/2011,11/23/2011,170,0,0,37,-99,-99,-99,-99,-99,-99,-99,-99,1,1,1,0,0,0,1,0,0,3,0,40,41,2,0,792,0,0,0,1
0,0,1,8/4/2010,9/30/2010,57,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,0,0,0,0,0,0,0,36,36,0,0,0,0,0,0,0
1,1,1,2/10/2012,6/1/2012,112,1,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,0,1,1,0,0,2,0,30,31,11,6,0,0,0,0,0
0,0,1,8/5/2010,9/13/2010,39,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,0,0,0,1,0,0,0,33,33,0,0,0,0,0,0,0
0,1,0,9/1/2011,9/29/2011,28,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,0,1,1,0,0,1,1,19,19,12,7,0,0,0,0,0
1,1,0,9/16/2010,3/3/2011,168,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,0,1,0,1,0,0,0,0,0,23,23,0,1,800,800,0,0,1
0,1,1,12/8/2014,12/13/2014,5,1,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,0,1,1,0,0,0,0,57,57,6,3,0,0,0,0,0
0,1,0,1/19/2011,3/19/2011,59,1,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,0,0,0,1,0,2,0,34,34,0,0,0,0,0,0,0
0,1,1,10/17/2013,4/28/2014,193,0,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-1,0,0,0,0,0,1,1,0,1,1,60,60,23,0,0,0,1,0,0
1,1,0,8/5/2010,3/17/2011,224,1,0,29,-99,-99,-99,-99,-99,-99,-99,-99,-1,0,0,0,0,0,0,0,0,3,0,21,22,0,0,0,0,0,0,0
1,0,0,8/10/2010,11/18/2011,465,0,0,30,-99,-99,-99,-99,-99,-99,-99,-99,1,1,0,1,0,0,1,0,0,11,0,20,21,4,0,1200,1200,0,0,1
0,1,1,3/15/2013,8/12/2013,150,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,1,0,0,0,0,1,0,8,0,0,56,56,4,0,1000,0,0,0,1
1,0,0,7/30/2012,3/24/2014,602,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,1,0,0,0,1,1,0,76,94,0,43,45,23,1,721,0,2,1,1
0,1,1,8/6/2010,12/30/2010,146,1,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,0,1,1,0,0,2,1,49,50,28,3,0,0,0,0,0
0,0,1,8/6/2010,12/7/2012,854,0,0,27,-99,-99,-99,-99,-99,-99,-99,-99,1,0,0,0,1,0,1,0,0,10,0,60,62,8,0,550,550,1,0,1
0,1,1,11/1/2010,2/11/2013,833,0,0,29,-99,-99,-99,-99,-99,-99,-99,-99,1,0,1,0,1,1,1,0,22,36,0,48,50,10,1,0,0,2,0,1
0,1,1,9/30/2011,10/24/2011,24,0,0,31,-99,-99,-99,-99,-99,-99,-99,-99,-1,0,0,0,0,1,1,0,0,1,1,23,23,51,5,0,0,0,0,0
1,0,0,9/23/2010,9/19/2011,361,0,0,30,-99,-99,-99,-99,-99,-99,-99,-99,1,1,0,0,0,0,1,1,0,14,1,45,46,24,0,700,0,0,0,1
0,1,1,9/10/2010,10/29/2010,49,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,0,0,1,0,0,0,0,63,63,8,0,0,0,0,0,0
0,1,1,8/7/2010,5/8/2011,274,1,0,30,-99,-99,-99,-99,-99,-99,-99,-99,-1,0,0,0,0,0,1,1,0,5,1,56,56,4,0,400,400,0,0,0
0,1,0,9/28/2010,11/29/2010,62,0,0,20,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,0,0,0,1,0,0,0,44,44,0,0,0,0,0,0,0
0,0,0,8/9/2010,8/13/2010,4,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,0,0,1,0,0,0,0,25,25,3,0,0,0,0,0,0
1,1,0,8/9/2010,8/9/2010,0,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,0,0,0,0,0,3,1,37,37,0,0,0,0,0,0,0
1,1,0,8/9/2010,3/4/2011,207,1,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,0,0,1,1,0,2,0,53,53,22,0,0,0,0,0,0
0,0,1,8/9/2010,1/31/2011,175,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,0,0,0,0,0,0,0,0,0,21,22,0,0,200,200,0,0,1
0,1,1,8/9/2010,10/28/2010,80,1,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,0,0,1,0,0,2,1,45,46,11,0,0,0,0,0,0
0,1,0,8/9/2010,10/21/2010,73,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,0,1,1,1,0,0,1,49,49,24,2,0,0,0,0,0
1,0,0,8/30/2010,10/7/2010,38,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,0,0,0,0,0,0,1,43,43,0,0,0,0,0,0,0
